id_api,nombres_asociados
170859.0,Crema;Crema de leche
169249.0,Lechuga;Lechuga escarola
169251.0,Champiñón;Champiñones de París
171329.0,Ají color;Paprika
171325.0,Ajo en polvo;Ajo granulado
170567.0,Almendras;Harina de almendra
169761.0,Harina;Harina sin polvos de hornear
170288.0,Choclo;Maíz;Granos de choclo
171319.0,Merkén;Ají en polvo
172237.0,Vinagre;Vinagre blanco;Vinagre de vino blanco;Vinagre de arroz
173471.0,Vainilla;Esencia de vainilla
169094.0,Aceituna;Aceituna negra
170499.0,Chalota;Cebolla chalota
170851.0,Ricotta;Queso ricotta
170106.0,Ají rojo;Ají cacho de cabra
170554.0,Chía;Semillas de chía
169110.0,Maracuyá;Jugo de maracuyá
172242.0,Aliño completo;Anato;Achiote
171711.0,Arándano;Berries
171284.0,Yogurt;Yogurt con eneldo
171605.0,Salsa de ají;Pasta de ají
171697.0,Damasco turco;Damasco
172183.0,Clara de huevo;Merengue
174528.0,Salsa de tabasco;Tabasco
168612.0,Lomo de ternera;Lomo vetado
174584.0,Salchicha;Longaniza;Vienesa
169599.0,Gelatina en polvo;Hojas de gelatina
168238.0,Chuleta de cerdo;Chuleta kayser
173461.0,Manjar;Salsa de manjar
167532.0,Marraqueta;Pan de molde blanco;Pan amasado
174214.0,Machas;Almejas
172159.0,Plateada;Malaya
169071.0,Jerez;Oporto
172122.0,Posta;Posta paleta
174204.0,Jaiba;Centolla
172855.0,Trutros cortos;Filete de pollo
174815.0,Coñac;Pisco
171893.0,Café;Café granulado
174817.0,Esencia de ron;Ron
167571.0,Cobertura de chocolate blanco;Chocolate blanco
171316.0,Anís estrella;Anís;Semillas de anís
171719.0,Cerezas;Guindas
170169.0,Coco;Coco rallado
175097.0,Amaretto;Licor;Licor de naranja
174216.0,Mariscos surtidos;Mariscos;Choros;Choros zapato
172128.0,Punta de ganso;Abastero
169736.0,Pasta espiral;Tallarines;Pasta penne;Fideos cabello;Fettuccine;Spaguetti;Canelon
174913.0,Pan ciabatta;Ciabatta
168955.0,Lámina de lasaña;Tagliatelle
169726.0,Arroz silvestre;Arroz integral
168034.0,Cabeza de congrio;Cabeza de pescado
171490.0,Pavo;Filete de pavo
